strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top3_m120_v120_f10_cost,0.1507550642229598,0.04465396304353941,0.12655348806153205,-0.13959491887826947,0.3528465609879361,0.3198824384322962,0.3692582760871591,25.419302234560288,71.0,0.02541930223456029,ram_topn,3,120,120,10,0.001
ram_top3_m120_v20_f21_cost,0.16105831745553756,0.047554943254762394,0.1122291230255448,-0.14901822163903888,0.42373086390364356,0.31912166667746783,0.4607049579685851,18.94933798005966,34.0,0.018949337980059662,ram_topn,3,120,20,21,0.001
ram_top3_m120_v60_f42_cost,0.1835448137562632,0.053825189871140156,0.11988337705644202,-0.17294026517855932,0.4489795932742105,0.3112357311096182,0.4874339925124337,15.497344646863173,18.0,0.015497344646863174,ram_topn,3,120,60,42,0.001
ram_top3_m120_v20_f42_cost,0.17746922308856528,0.05213919074017048,0.1214370608894969,-0.1693582990633955,0.42935155345710446,0.30786321679254314,0.46589928624965643,16.313997508815063,18.0,0.016313997508815063,ram_topn,3,120,20,42,0.001
ram_top3_m60_v60_f63_cost,0.20588291942840997,0.05997331896820013,0.149827435478283,-0.19902043661995206,0.40028262365134765,0.3013425153052233,0.44514506863837816,16.075897148758212,13.0,0.016075897148758213,ram_topn,3,60,60,63,0.001
ram_top3_m60_v20_f63_cost,0.2045720426633555,0.05961470280352854,0.150930504539472,-0.19856848231265967,0.3949811403958956,0.3002223822694133,0.43675908753636117,16.022801148452828,13.0,0.01602280114845283,ram_topn,3,60,20,63,0.001
ram_top1_m180_v60_f63_cost,0.3134644778958331,0.08853214573618162,0.19114487815690517,-0.2964761148759719,0.4631677635824916,0.2986147662290375,0.45976784346323785,15.0,8.0,0.015,ram_topn,1,180,60,63,0.001
ram_top2_m60_v20_f63_cost,0.21896956782090782,0.06353879221971792,0.16508277747219552,-0.23073270509420085,0.3848904967110794,0.27537835259971943,0.4302287258842943,16.038326346034836,13.0,0.016038326346034835,ram_topn,2,60,20,63,0.001
ram_top2_m60_v60_f63_cost,0.21205137544549602,0.061657225995916054,0.160457842313962,-0.22900501391950479,0.38425810235733826,0.2692396334064046,0.4346064778533075,16.24989869100944,13.0,0.016249898691009443,ram_topn,2,60,60,63,0.001
ram_top2_m120_v20_f42_cost,0.16590261939741446,0.04891277631984137,0.13039591318008803,-0.1863703023968214,0.3751097340933423,0.2624494122228542,0.4241753945560445,19.333829594084683,18.0,0.019333829594084685,ram_topn,2,120,20,42,0.001
ram_top3_m120_v120_f42_cost,0.15266151790117966,0.04519208867085123,0.12086730879300044,-0.17642531315481635,0.3738983611213519,0.25615422108501157,0.40746623064924664,15.092158664239912,18.0,0.015092158664239913,ram_topn,3,120,120,42,0.001
ram_top3_m120_v60_f21_cost,0.12203440051439429,0.03647176503142946,0.11354445562037574,-0.15283747549479076,0.3212113249577687,0.2386310354404705,0.3537250277570036,18.14002533599431,34.0,0.01814002533599431,ram_topn,3,120,60,21,0.001
ram_top1_m20_v20_f21_cost,0.17679087354414147,0.05195057458287322,0.16227184934251054,-0.2220826730262977,0.320145328924058,0.23392448350403972,0.34896466556695704,53.0,27.0,0.053,ram_topn,1,20,20,21,0.001
ram_top1_m60_v60_f21_cost,0.14132259398102498,0.04198242951176545,0.16221300805601255,-0.18708782681339708,0.2588104987071617,0.22439957867295698,0.30876341737419555,39.0,20.0,0.039,ram_topn,1,60,60,21,0.001
